   Meter ID  = 11602995
   Pulse output  = 1 (12)
   Type  = Water (0)
   Current Status  = OK (0)
   Readings received  = 173
   Time since last reading  = 446 minutes
   Time between readings  = 1440 minutes
   Logged Readings  =  
      Read 173 = 23907	Time: 7/12/2016 2:36
      Read 174 = 23903	Time: 7/11/2016 2:36
      Read 175 = 23898	Time: 7/10/2016 2:36
      Read 176 = 23884	Time: 7/9/2016 2:36
      Read 177 = 23871	Time: 7/8/2016 2:36
      Read 178 = 23856	Time: 7/7/2016 2:36
      Read 179 = 23829	Time: 7/6/2016 2:36
      Read 180 = 23820	Time: 7/5/2016 2:36
      Read 181 = 23803	Time: 7/4/2016 2:36
      Read 182 = 23778	Time: 7/3/2016 2:36
      Read 183 = 23768	Time: 7/2/2016 2:36
      Read 184 = 23758	Time: 7/1/2016 2:36
      Read 185 = 23752	Time: 6/30/2016 2:36
      Read 186 = 23735	Time: 6/29/2016 2:36
      Read 187 = 23723	Time: 6/28/2016 2:36
      Read 188 = 23715	Time: 6/27/2016 2:36
      Read 189 = 23686	Time: 6/26/2016 2:36
      Read 190 = 23669	Time: 6/25/2016 2:36
      Read 191 = 23644	Time: 6/24/2016 2:36
      Read 192 = 23634	Time: 6/23/2016 2:36
      Read 193 = 23609	Time: 6/22/2016 2:36
      Read 194 = 23584	Time: 6/21/2016 2:36
      Read 195 = 23584	Time: 6/20/2016 2:36
      Read 196 = 23556	Time: 6/19/2016 2:36
      Read 197 = 23531	Time: 6/18/2016 2:36
      Read 198 = 23522	Time: 6/17/2016 2:36
      Read 199 = 23501	Time: 6/16/2016 2:36
      Read 200 = 23484	Time: 6/15/2016 2:36
      Read 201 = 23456	Time: 6/14/2016 2:36
      Read 202 = 23446	Time: 6/13/2016 2:36
      Read 203 = 23423	Time: 6/12/2016 2:36
      Read 204 = 23411	Time: 6/11/2016 2:36
      Read 205 = 23382	Time: 6/10/2016 2:36
      Read 206 = 23376	Time: 6/9/2016 2:36
      Read 207 = 23347	Time: 6/8/2016 2:36
      Read 208 = 23330	Time: 6/7/2016 2:36
      Read 209 = 23309	Time: 6/6/2016 2:36
      Read 210 = 23293	Time: 6/5/2016 2:36
      Read 211 = 23268	Time: 6/4/2016 2:36
      Read 212 = 23262	Time: 6/3/2016 2:36
      Read 213 = 23262	Time: 6/2/2016 2:36
      Read 214 = 23246	Time: 6/1/2016 2:36
      Read 215 = 23246	Time: 5/31/2016 2:36
      Read 216 = 23223	Time: 5/30/2016 2:36
      Read 217 = 23214	Time: 5/29/2016 2:36
      Read 218 = 23200	Time: 5/28/2016 2:36
      Read 219 = 23182	Time: 5/27/2016 2:36
      Read 220 = 23173	Time: 5/26/2016 2:36
      Read 221 = 23160	Time: 5/25/2016 2:36
      Read 222 = 23153	Time: 5/24/2016 2:36
      Read 223 = 23142	Time: 5/23/2016 2:36
      Read 224 = 23122	Time: 5/22/2016 2:36
      Read 225 = 23097	Time: 5/21/2016 2:36
      Read 226 = 23095	Time: 5/20/2016 2:36
      Read 227 = 23073	Time: 5/19/2016 2:36
      Read 228 = 23059	Time: 5/18/2016 2:36
      Read 229 = 23055	Time: 5/17/2016 2:36
      Read 230 = 23049	Time: 5/16/2016 2:36
      Read 231 = 23022	Time: 5/15/2016 2:36
      Read 232 = 23007	Time: 5/14/2016 2:36
      Read 233 = 23003	Time: 5/13/2016 2:36
      Read 234 = 22974	Time: 5/12/2016 2:36
      Read 235 = 22962	Time: 5/11/2016 2:36
      Read 236 = 22962	Time: 5/10/2016 2:36
      Read 237 = 22961	Time: 5/9/2016 2:36
      Read 238 = 22954	Time: 5/8/2016 2:36
      Read 239 = 22934	Time: 5/7/2016 2:36
      Read 240 = 22915	Time: 5/6/2016 2:36
      Read 241 = 22899	Time: 5/5/2016 2:36
      Read 242 = 22887	Time: 5/4/2016 2:36
      Read 243 = 22868	Time: 5/3/2016 2:36
      Read 244 = 22857	Time: 5/2/2016 2:36
      Read 245 = 22849	Time: 5/1/2016 2:36
      Read 246 = 22849	Time: 4/30/2016 2:36
      Read 247 = 22844	Time: 4/29/2016 2:36
      Read 248 = 22826	Time: 4/28/2016 2:36
      Read 249 = 22809	Time: 4/27/2016 2:36
      Read 250 = 22803	Time: 4/26/2016 2:36
      Read 251 = 22782	Time: 4/25/2016 2:36
      Read 252 = 22762	Time: 4/24/2016 2:36
      Read 253 = 22740	Time: 4/23/2016 2:36
      Read 254 = 22716	Time: 4/22/2016 2:36
      Read 255 = 22706	Time: 4/21/2016 2:36
      Read 256 = 22677	Time: 4/20/2016 2:36
      Read 257 = 22651	Time: 4/19/2016 2:36
      Read 258 = 22624	Time: 4/18/2016 2:36
      Read 259 = 22618	Time: 4/17/2016 2:36
      Read 260 = 22617	Time: 4/16/2016 2:36
      Read 261 = 22602	Time: 4/15/2016 2:36
      Read 262 = 22588	Time: 4/14/2016 2:36
      Read 263 = 22566	Time: 4/13/2016 2:36
      Read 264 = 22563	Time: 4/12/2016 2:36
      Read 265 = 22539	Time: 4/11/2016 2:36
      Read 266 = 22514	Time: 4/10/2016 2:36
      Read 267 = 22512	Time: 4/9/2016 2:36
      Read 268 = 22507	Time: 4/8/2016 2:36
      Read 269 = 22480	Time: 4/7/2016 2:36
      Read 270 = 22477	Time: 4/6/2016 2:36
      Read 271 = 22449	Time: 4/5/2016 2:36
      Read 272 = 22438	Time: 4/4/2016 2:36
      Read 273 = 22415	Time: 4/3/2016 2:36
      Read 274 = 22402	Time: 4/2/2016 2:36
      Read 275 = 22395	Time: 4/1/2016 2:36
      Read 276 = 22367	Time: 3/31/2016 2:36
      Read 277 = 22347	Time: 3/30/2016 2:36
      Read 278 = 22332	Time: 3/29/2016 2:36
      Read 279 = 22306	Time: 3/28/2016 2:36
      Read 280 = 22285	Time: 3/27/2016 2:36
      Read 281 = 22264	Time: 3/26/2016 2:36
      Read 282 = 22262	Time: 3/25/2016 2:36
      Read 283 = 22233	Time: 3/24/2016 2:36
      Read 284 = 22226	Time: 3/23/2016 2:36
      Read 285 = 22203	Time: 3/22/2016 2:36
      Read 286 = 22202	Time: 3/21/2016 2:36
      Read 287 = 22193	Time: 3/20/2016 2:36
      Read 288 = 22182	Time: 3/19/2016 2:36
      Read 289 = 22158	Time: 3/18/2016 2:36
      Read 290 = 22133	Time: 3/17/2016 2:36
      Read 291 = 22128	Time: 3/16/2016 2:36
      Read 292 = 22114	Time: 3/15/2016 2:36
      Read 293 = 22107	Time: 3/14/2016 2:36
      Read 294 = 22100	Time: 3/13/2016 2:36
      Read 295 = 22083	Time: 3/12/2016 2:36
      Read 296 = 22077	Time: 3/11/2016 2:36
      Read 297 = 22052	Time: 3/10/2016 2:36
      Read 298 = 22052	Time: 3/9/2016 2:36
      Read 299 = 22029	Time: 3/8/2016 2:36
      Read 300 = 22007	Time: 3/7/2016 2:36
      Read 301 = 21983	Time: 3/6/2016 2:36
      Read 302 = 21969	Time: 3/5/2016 2:36
      Read 303 = 21957	Time: 3/4/2016 2:36
